subject_id	predicate_id	object_id	subject_label	object_label	match_type	creator_id	license
umls:C0001973	skos:narrower	mesh:D000435	Alcoholic Intoxication, Chronic	Alcoholic Intoxication	sssom:HumanCurated	orcid:0000-0003-4423-4370	https://creativecommons.org/publicdomain/zero/1.0/
umls:C0004352	skos:exactMatch	mesh:D001321	Autistic Disorder	Autistic Disorder	sssom:HumanCurated	orcid:0000-0003-4423-4370	https://creativecommons.org/publicdomain/zero/1.0/
umls:C0006118	skos:exactMatch	mesh:D001932	Brain Neoplasms	Brain Neoplasms	sssom:HumanCurated	orcid:0000-0003-4423-4370	https://creativecommons.org/publicdomain/zero/1.0/
umls:C0006142	skos:exactMatch	mesh:D001943	Malignant neoplasm of breast	Breast Neoplasms	sssom:HumanCurated	orcid:0000-0003-4423-4370	https://creativecommons.org/publicdomain/zero/1.0/
mesh:C108192	skos:exactMatch	chebi:CHEBI:101381	aloxistatin	aloxistatin	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
pfam:PF01391	skos:exactMatch	mesh:D003094	Collagen	Collagen	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:D002465	skos:exactMatch	go:GO:0048870	Cell Movement	cell motility	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:D002914	skos:exactMatch	go:GO:0042627	Chylomicrons	chylomicron	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:D012374	skos:exactMatch	go:GO:0120200	Rod Cell Outer Segment	rod photoreceptor outer segment	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:D014158	skos:exactMatch	go:GO:0006351	Transcription, Genetic	transcription, DNA-templated	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:D014176	skos:exactMatch	go:GO:0006412	Protein Biosynthesis	translation	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:D018919	skos:exactMatch	go:GO:0001525	Neovascularization, Physiologic	angiogenesis	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:D048708	skos:exactMatch	go:GO:0016049	Cell Growth Processes	cell growth	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:D058750	skos:exactMatch	go:GO:0001837	Epithelial-Mesenchymal Transition	epithelial to mesenchymal transition	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:D059767	skos:exactMatch	go:GO:0000725	Recombinational DNA Repair	recombinational repair	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:D016195	skos:exactMatch	go:GO:0051319	G2 Phase	G2 phase	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:C497399	skos:exactMatch	uniprot:Q15797	SMAD1 protein, human	SMAD1	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
mesh:C497782	skos:exactMatch	uniprot:Q15796	SMAD2 protein, human	SMAD2	sssom:HumanCurated	orcid:0000-0001-9439-5346	https://creativecommons.org/publicdomain/zero/1.0/
