source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	confidence	source	curation_status
chebi	CHEBI:135656	mazaticol	skos:exactMatch	mesh	C003706	mazaticol	manually_reviewed		orcid:0000-0001-9439-5346	positive
chebi	CHEBI:135822	nafiverine	skos:exactMatch	mesh	C002681	nafiverine	manually_reviewed		orcid:0000-0003-4423-4370	positive
chebi	CHEBI:75408	sulindac sulfide	skos:exactMatch	mesh	C025462	sulindac sulfide	manually_reviewed		orcid:0000-0001-9439-5346	positive
chebi	CHEBI:132171	5,6-dihydrothymidine	skos:exactMatch	mesh	C029949	5,6-dihydrothymidine	manually_reviewed		orcid:0000-0001-9439-5346	positive
chebi	CHEBI:4948	Evodiamine	skos:exactMatch	mesh	C049639	evodiamine	manually_reviewed		orcid:0000-0001-9439-5346	positive
chebi	CHEBI:31501	dimorpholamine	skos:exactMatch	mesh	C100074	dimorpholamine	manually_reviewed		orcid:0000-0001-9439-5346	positive
chebi	CHEBI:10072	xanthurenic acid	skos:exactMatch	mesh	C028330	xanthurenic acid	manually_reviewed		orcid:0000-0001-9439-5346	positive
chebi	CHEBI:8695	quercetagetin	skos:exactMatch	mesh	C079163	quercetagetin	manually_reviewed		orcid:0000-0001-9439-5346	positive
chebi	CHEBI:6988	monotropein	skos:exactMatch	mesh	C507582	monotropein	manually_reviewed		orcid:0000-0001-9439-5346	positive
chebi	CHEBI:135697	sarpogrelate	skos:exactMatch	mesh	C064294	sarpogrelate	manually_reviewed		orcid:0000-0001-9439-5346	positive
chebi	CHEBI:17351	linoleic acid	skos:exactMatch	mesh	D019787	Linoleic Acid	manually_reviewed		orcid:0000-0001-9439-5346	positive
chebi	CHEBI:138656	rhizathalene A	skos:exactMatch	mesh	C586007	rhizathalene A	manually_reviewed		orcid:0000-0003-4423-4370	positive
chebi	CHEBI:50464	cis-vaccenic acid	skos:exactMatch	mesh	C065593	cis-vaccenic acid	lexical	0.95	generate_chebi_mesh_mappings.py	prediction
