source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source	prediction_type	prediction_source	prediction_confidence
agrovoc	10457	draught animals	skos:exactMatch	agro	00002004	draft animal role	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	15662	Mus	skos:exactMatch	agro	00002067	methylene urea	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	1797	compound fertilizers	skos:exactMatch	agro	00002046	NPK fertilizer	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	1972	crops	skos:exactMatch	agro	00002001	crop role	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	25694	disc ploughs	skos:exactMatch	agro	00000128	disc harrow	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	25698	mole ploughs	skos:exactMatch	agro	00000130	subsoiler	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	25716	topping	skos:exactMatch	agro	00000220	mowing process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	2863	fertilization	skos:exactMatch	agro	01000000	agronomic fertilization process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	3414	guano	skos:exactMatch	agro	00020003	bird guano	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	3498	harrows	skos:exactMatch	agro	00000137	chain harrow	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	3498	harrows	skos:exactMatch	agro	00000138	tine harrow	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	3510	heading	skos:exactMatch	agro	00000458	tree topping process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	35362	monocalcium phosphate	skos:exactMatch	agro	00002065	triple superphosphate	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	5e57cd77	broiler litter	skos:exactMatch	agro	00000080	poultry litter	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	6274	pruning	skos:exactMatch	agro	00000027	thinning	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	6891	SDI	skos:exactMatch	agro	00000058	subsurface drip irrigation process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	7771	tillage	skos:exactMatch	agro	00000002	tillage process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	7b960f69	rainwater harvesting	skos:exactMatch	agro	00000589	water harvesting	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	8446	working animals	skos:exactMatch	agro	00002004	draft animal role	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	fdfbb37f	parcels	skos:exactMatch	agro	00000301	agricultural experimental plot	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
apollosv	00000094	community	skos:exactMatch	ncit	C16453	Community	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
apollosv	00000172	susceptibility	skos:exactMatch	pato	0001043	susceptibility toward	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	mira	0.5555555555555556
apollosv	00000340	agonism	skos:exactMatch	nbo	0000015	aggressive behavior	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
apollosv	00000340	agonism	skos:exactMatch	nbo	0000121	agonistic behavior	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
apollosv	00000496	ORCID	skos:exactMatch	ncit	C188272	ORCID	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	mira	0.7777777777777778
bto	0002830	DB-1 cell	skos:exactMatch	cl	4033027	diffuse bipolar 1 cell	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	https://github.com/biomappings/biomappings/blob/cc126c/scripts/generate_bto_cl_mappings.py	0.555
bto	0004500	R1 cell	skos:exactMatch	cl	0000687	R1 photoreceptor cell	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	https://github.com/biomappings/biomappings/blob/cc126c/scripts/generate_bto_cl_mappings.py	0.556
bto	0005825	ctenidium	skos:exactMatch	ncbitaxon	90308	Ctenidium	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	kestrel-mappings	0.762
bto	0006359	TEX cell	skos:exactMatch	cl	0011025	exhausted T cell	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	semapv:LexicalMatching	https://github.com/biomappings/biomappings/blob/cc126c/scripts/generate_bto_cl_mappings.py	0.549
ccle	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697	skos:exactMatch	cellosaurus	8056	697-mel	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508			
ccle	A204_SOFT_TISSUE	A-204	skos:exactMatch	cellosaurus	1N55	Urd-B	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508			
ccle	ABC1_LUNG	ABC-1	skos:exactMatch	cellosaurus	ZB62	AbC1	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508			
ccle	BC2	BC2	skos:exactMatch	cellosaurus	1856	BC-2	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508			
ccle	BC2	BC2	skos:exactMatch	cellosaurus	IW93	HBG BC2	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508			
ccle	BC2	BC2	skos:exactMatch	efo	0002045	BC-2	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508			
ccle	BGC823_STOMACH	BGC-823	skos:exactMatch	cellosaurus	3360	BGC-823	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508			
ccle	BOKU	BOKU	skos:exactMatch	cellosaurus	1089	BOKU	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508			
ccle	BOKU	BOKU	skos:exactMatch	depmap	ACH-001451	BOKU	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508			
ccle	C32_SKIN	C32	skos:exactMatch	cellosaurus	ZA06	WT2-iPS	semapv:ManualMappingCuration	orcid:0000-0003-1307-2508			
ccle	CL11_LARGE_INTESTINE	CL-11	skos:exactMatch	cellosaurus	D517	CL1-1	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	CL14_LARGE_INTESTINE	CL-14	skos:exactMatch	cellosaurus	D520	CL1-4	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	CL14_LARGE_INTESTINE	CL-14	skos:exactMatch	cellosaurus	ZP40	XPCS2BASV Cl-14	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	COLO783_SKIN	COLO-783	skos:exactMatch	efo	0006375	COLO 741	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	COLO818_SKIN	COLO-818	skos:exactMatch	efo	0006378	COLO 800	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DEL	skos:exactMatch	efo	0004014	deletion	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	DM3_FIBROBLAST	DM-3	skos:exactMatch	cellosaurus	Z233	Schneider 3	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
ccle	EBC1_LUNG	EBC-1	skos:exactMatch	cellosaurus	E218	NB-EbC1	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	ES2_OVARY	ES-2	skos:exactMatch	cellosaurus	AX39	ES2	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	ES2_OVARY	ES-2	skos:exactMatch	cellosaurus	C769	ESe009-A	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			
ccle	F5_CENTRAL_NERVOUS_SYSTEM	F5	skos:exactMatch	cellosaurus	L876	TS/A clone F5	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			
