source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source	prediction_type	prediction_source	prediction_confidence
agrovoc	0619dd9e	chain harrows	skos:exactMatch	agro	00000137	chain harrow	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	0a9fbc47	scythes	skos:exactMatch	agro	00000456	scythe	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	1012	border irrigation	skos:exactMatch	agro	00000066	border irrigation process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	10457	draught animals	skos:exactMatch	agro	00000116	draft animal	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	1101	broadcasting	skos:exactMatch	agro	00000040	broadcast application method	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	12679	mowing	skos:exactMatch	agro	00000220	mowing process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	13452	plastic mulches	skos:exactMatch	agro	00000093	plastic mulch	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	13811	replanting	skos:exactMatch	agro	00000229	plant transplanting process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	1410249722990	split plot design	skos:exactMatch	agro	00000329	split plot design	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	155	aerial application	skos:exactMatch	agro	00000037	aerial application	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	15970	fertigation	skos:exactMatch	agro	00000047	fertigation	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	16097	silvopastoral systems	skos:exactMatch	agro	00000580	silvopasture	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	16118	crop residues	skos:exactMatch	agro	00000154	crop residue	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	16650	stubble	skos:exactMatch	agro	00002009	stubble	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	1775	combine harvesters	skos:exactMatch	agro	00000473	combine harvester	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	17857	replication	skos:exactMatch	agro	00000321	replication	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	1882e93f	private forests	skos:exactMatch	agro	00000365	private forest	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	1972	crops	skos:exactMatch	agro	00000325	crop	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	200	liming materials	skos:exactMatch	agro	00000197	liming material	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	2019	cultivators	skos:exactMatch	agro	00000393	cultivator	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	207	agroforestry	skos:exactMatch	agro	00000584	agroforestry	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	2151	deep placement	skos:exactMatch	agro	00000046	deep placement	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	2386	seed drills	skos:exactMatch	agro	00000396	seed drill	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	24001	choppers	skos:exactMatch	agro	00000540	forage harvester	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
agrovoc	24065	planting date	skos:exactMatch	agro	00010132	planting date	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696			
