source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
mondo	MONDO:0000158	developmental dysplasia of the hip	skos:exactMatch	mesh	D000082602	Developmental Dysplasia of the Hip	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0000239	adiaspiromycosis	skos:exactMatch	mesh	C000656784	adiaspiromycosis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0000242	tinea barbae	skos:exactMatch	mesh	C000656825	tinea barbae	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0000455	cone dystrophy	skos:exactMatch	mesh	D000077765	Cone Dystrophy	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0000598	aphasia	skos:exactMatch	mesh	D001037	Aphasia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0000716	agraphia	skos:exactMatch	mesh	D000381	Agraphia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0000819	anencephaly	skos:exactMatch	mesh	D000757	Anencephaly	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0001020	amblyopia	skos:exactMatch	mesh	D000550	Amblyopia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0001045	intestinal atresia	skos:exactMatch	mesh	D007409	Intestinal Atresia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0001134	essential hypertension	skos:exactMatch	mesh	D000075222	Essential Hypertension	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0001149	microcephaly	skos:exactMatch	mesh	D008831	Microcephaly	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0001247	social phobia	skos:exactMatch	mesh	D000072861	Phobia, Social	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0001357	hypochromic anemia	skos:exactMatch	mesh	D000747	Anemia, Hypochromic	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0001688	toxic optic neuropathy	skos:exactMatch	mesh	D000081028	Toxic Optic Neuropathy	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0002012	methylmalonic acidemia	skos:exactMatch	mesh	C537358	Methylmalonic acidemia	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0002648	mammary Paget disease	skos:exactMatch	mesh	D010144	Paget's Disease, Mammary	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0005607	chronic bronchitis	skos:exactMatch	mesh	D029481	Bronchitis, Chronic	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0006033	diffuse intrinsic pontine glioma	skos:exactMatch	mesh	D000080443	Diffuse Intrinsic Pontine Glioma	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0006094	Askin tumor	skos:exactMatch	mesh	C563168	Askin Tumor	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007082	alopecia areata 1	skos:exactMatch	mesh	C566303	Alopecia Areata 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007088	Alzheimer disease type 1	skos:exactMatch	mesh	C536594	Alzheimer disease type 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007110	Diamond-Blackfan anemia 1	skos:exactMatch	mesh	C567302	Diamond-Blackfan Anemia 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007329	cirrhosis, familial	skos:exactMatch	mesh	C566123	Cirrhosis, Familial	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007390	coumarin resistance	skos:exactMatch	mesh	C563039	Coumarin Resistance	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007440	major affective disorder 1	skos:exactMatch	mesh	C565111	Major Affective Disorder 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007459	dilution, pigmentary	skos:exactMatch	mesh	C566872	Dilution, Pigmentary	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007547	epidermoid cysts	skos:exactMatch	mesh	D004814	Epidermal Cyst	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007578	esterase B	skos:exactMatch	mesh	C049262	esterase B	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007817	IgE responsiveness, atopic	skos:exactMatch	mesh	C564133	Ige Responsiveness, Atopic	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007909	familial multiple lipomatosis	skos:exactMatch	mesh	D000071070	Familial Multiple Lipomatosis	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0007942	Mammastatin	skos:exactMatch	mesh	C060120	mammastatin	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0008062	narcolepsy 1	skos:exactMatch	mesh	C563534	Narcolepsy 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0008163	otofaciocervical syndrome	skos:exactMatch	mesh	C563481	Otofaciocervical Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0008197	parietal foramina 1	skos:exactMatch	mesh	C566827	Parietal Foramina 1	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0008273	actinic prurigo	skos:exactMatch	mesh	C566780	Actinic Prurigo	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0008328	glaucoma 1, open angle, P	skos:exactMatch	mesh	C566748	Glaucoma 1, Open Angle, P	manually_reviewed	orcid:0000-0001-9439-5346
mondo	MONDO:0008426	Shprintzen-Goldberg syndrome	skos:exactMatch	mesh	C537328	Shprintzen Golberg craniosynostosis	manually_reviewed	orcid:0000-0001-9439-5346
