#curie_map:
#  agro: http://purl.obolibrary.org/obo/AGRO_
#  agrovoc: http://aims.fao.org/aos/agrovoc/c_
#  apollosv: http://purl.obolibrary.org/obo/APOLLO_SV_
#  bto: http://purl.obolibrary.org/obo/BTO_
#  ccle: https://www.cbioportal.org/patient?studyId=ccle_broad_2019&caseId=
#  cellosaurus: https://www.cellosaurus.org/CVCL_
#  chebi: http://purl.obolibrary.org/obo/CHEBI_
#  chmo: http://purl.obolibrary.org/obo/CHMO_
#  cl: http://purl.obolibrary.org/obo/CL_
#  clo: http://purl.obolibrary.org/obo/CLO_
#  cpt: https://www.aapc.com/codes/cpt-codes/
#  cvx: https://biopragmatics.github.io/providers/cvx/
#  debio: https://biopragmatics.github.io/debio/
#  depmap: https://depmap.org/portal/cell_line/
#  doid: http://purl.obolibrary.org/obo/DOID_
#  drugbank: https://go.drugbank.com/drugs/
#  efo: http://www.ebi.ac.uk/efo/EFO_
#  envo: http://purl.obolibrary.org/obo/ENVO_
#  fplx: https://sorgerlab.github.io/famplex/
#  go: http://purl.obolibrary.org/obo/GO_
#  hgnc: https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/
#  hp: http://purl.obolibrary.org/obo/HP_
#  iconclass: https://iconclass.org/
#  ido: http://purl.obolibrary.org/obo/IDO_
#  idomal: http://purl.obolibrary.org/obo/IDOMAL_
#  interpro: https://www.ebi.ac.uk/interpro/entry/InterPro/
#  ito: https://bioportal.bioontology.org/ontologies/ITO/?p=classes&conceptid=https://identifiers.org/ito:ITO_
#  kegg.pathway: https://www.kegg.jp/pathway/
#  maxo: http://purl.obolibrary.org/obo/MAXO_
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  mi: http://purl.obolibrary.org/obo/MI_
#  miapa: http://purl.obolibrary.org/obo/MIAPA_
#  mondo: http://purl.obolibrary.org/obo/MONDO_
#  nbo: http://purl.obolibrary.org/obo/NBO_
#  ncbitaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  ncit: http://purl.obolibrary.org/obo/NCIT_
#  oae: http://purl.obolibrary.org/obo/OAE_
#  obi: http://purl.obolibrary.org/obo/OBI_
#  orcid: https://orcid.org/
#  pato: http://purl.obolibrary.org/obo/PATO_
#  pfam: https://www.ebi.ac.uk/interpro/entry/pfam/
#  pr: http://purl.obolibrary.org/obo/PR_
#  reactome: https://reactome.org/content/detail/
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#  uberon: http://purl.obolibrary.org/obo/UBERON_
#  umls: https://uts.nlm.nih.gov/uts/umls/concept/
#  uniprot.chain: http://purl.uniprot.org/annotation/
#  vo: http://purl.obolibrary.org/obo/VO_
#  wikipathways: http://www.wikipathways.org/instance/
#mapping_set_id: https://w3id.org/biopragmatics/sssom/negative.sssom.tsv
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	author_id	mapping_tool
agrovoc:10457	draught animals	skos:exactMatch	Not	agro:00002004	draft animal role	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:15662	Mus	skos:exactMatch	Not	agro:00002067	methylene urea	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:1797	compound fertilizers	skos:exactMatch	Not	agro:00002046	NPK fertilizer	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:1972	crops	skos:exactMatch	Not	agro:00002001	crop role	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:25694	disc ploughs	skos:exactMatch	Not	agro:00000128	disc harrow	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:25698	mole ploughs	skos:exactMatch	Not	agro:00000130	subsoiler	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:25716	topping	skos:exactMatch	Not	agro:00000220	mowing process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:2863	fertilization	skos:exactMatch	Not	agro:01000000	agronomic fertilization process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:3414	guano	skos:exactMatch	Not	agro:00020003	bird guano	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:3498	harrows	skos:exactMatch	Not	agro:00000137	chain harrow	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:3498	harrows	skos:exactMatch	Not	agro:00000138	tine harrow	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:3510	heading	skos:exactMatch	Not	agro:00000458	tree topping process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:35362	monocalcium phosphate	skos:exactMatch	Not	agro:00002065	triple superphosphate	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:5e57cd77	broiler litter	skos:exactMatch	Not	agro:00000080	poultry litter	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:6274	pruning	skos:exactMatch	Not	agro:00000027	thinning	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:6891	SDI	skos:exactMatch	Not	agro:00000058	subsurface drip irrigation process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:7771	tillage	skos:exactMatch	Not	agro:00000002	tillage process	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:7b960f69	rainwater harvesting	skos:exactMatch	Not	agro:00000589	water harvesting	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:8446	working animals	skos:exactMatch	Not	agro:00002004	draft animal role	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
agrovoc:fdfbb37f	parcels	skos:exactMatch	Not	agro:00000301	agricultural experimental plot	semapv:ManualMappingCuration	orcid:0000-0002-2627-0696	
