#curie_map:
#  aio: https://w3id.org/aio/
#  apollosv: http://purl.obolibrary.org/obo/APOLLO_SV_
#  bto: http://purl.obolibrary.org/obo/BTO_
#  ccle: https://www.cbioportal.org/patient?studyId=ccle_broad_2019&caseId=
#  cellosaurus: https://www.cellosaurus.org/CVCL_
#  cemo: https://biopragmatics.github.io/providers/cemo/
#  chebi: http://purl.obolibrary.org/obo/CHEBI_
#  chmo: http://purl.obolibrary.org/obo/CHMO_
#  cl: http://purl.obolibrary.org/obo/CL_
#  cpt: https://www.aapc.com/codes/cpt-codes/
#  depmap: https://depmap.org/portal/cell_line/
#  doid: http://purl.obolibrary.org/obo/DOID_
#  drugbank: https://go.drugbank.com/drugs/
#  efo: http://www.ebi.ac.uk/efo/EFO_
#  envo: http://purl.obolibrary.org/obo/ENVO_
#  go: http://purl.obolibrary.org/obo/GO_
#  goldbook: https://goldbook.iupac.org/terms/view/
#  hgnc: https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/
#  ido: http://purl.obolibrary.org/obo/IDO_
#  idomal: http://purl.obolibrary.org/obo/IDOMAL_
#  ito: https://bioportal.bioontology.org/ontologies/ITO/?p=classes&conceptid=https://identifiers.org/ito:ITO_
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  mondo: http://purl.obolibrary.org/obo/MONDO_
#  ncbitaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  ncit: http://purl.obolibrary.org/obo/NCIT_
#  obi: http://purl.obolibrary.org/obo/OBI_
#  orcid: https://orcid.org/
#  pato: http://purl.obolibrary.org/obo/PATO_
#  pr: http://purl.obolibrary.org/obo/PR_
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#  uberon: http://purl.obolibrary.org/obo/UBERON_
#  umls: https://uts.nlm.nih.gov/uts/umls/concept/
#  vo: http://purl.obolibrary.org/obo/VO_
#  vsmo: http://purl.obolibrary.org/obo/VSMO_
#mapping_set_id: https://w3id.org/biopragmatics/biomappings/sssom/unsure.sssom.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	reviewer_id	mapping_tool	review_date	confidence	reviewer_agreement
apollosv:00000195	target population	skos:exactMatch	ncit:C142728	Target Study Population	semapv:LexicalMatching	orcid:0000-0003-4423-4370				0.0
apollosv:00000243	duration	skos:exactMatch	pato:0001309	duration	semapv:LexicalMatching	orcid:0000-0003-4423-4370	mira			0.0
apollosv:00000317	incubation period	skos:exactMatch	vsmo:0000499	intrinsic incubation period	semapv:LexicalMatching	orcid:0000-0003-4423-4370	mira			0.0
apollosv:00000596	symbiosis	skos:exactMatch	go:0044403	biological process involved in symbiotic interaction	semapv:LexicalMatching	orcid:0000-0003-4423-4370	mira			0.0
bto:0002314	satellite cell	skos:exactMatch	cl:0000514	smooth muscle myoblast	semapv:LexicalMatching	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/cc126c/scripts/generate_bto_cl_mappings.py			0.0
ccle:BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP-1	skos:exactMatch	cellosaurus:0107	BCP-1	semapv:LexicalMatching	orcid:0000-0003-1307-2508				0.0
ccle:BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	skos:exactMatch	cellosaurus:4613	BDCM	semapv:LexicalMatching	orcid:0000-0003-1307-2508				0.0
ccle:BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	skos:exactMatch	efo:0002113	BDCM	semapv:LexicalMatching	orcid:0000-0003-1307-2508				0.0
ccle:C8166	C8166	skos:exactMatch	cellosaurus:1099	C8166	semapv:LexicalMatching	orcid:0000-0003-1307-2508				0.0
ccle:C8166	C8166	skos:exactMatch	depmap:ACH-000206		semapv:LexicalMatching	orcid:0000-0003-1307-2508				0.0
ccle:DETROIT562_UPPER_AERODIGESTIVE_TRACT	Detroit 562	skos:exactMatch	efo:0002170	Detroit562	semapv:LexicalMatching	orcid:0000-0001-9439-5346				0.0
ccle:ECC4	ECC4	skos:exactMatch	cellosaurus:1190	ECC4	semapv:LexicalMatching	orcid:0000-0001-9439-5346				0.0
ccle:ECC4	ECC4	skos:exactMatch	depmap:ACH-002024	ECC4	semapv:LexicalMatching	orcid:0000-0001-9439-5346				0.0
